CLIENTE;ESTADO;REGIAO;RITO;ESCRITORIO;TIPO;VALOR;FORMA_PAGTO;RESULTADO
Auto Posto Mais 28;SP;SÃO PAULO;JUDICIAL;Escritório 2;DECISÃO JUDICIAL;R$ 302.302,18; A VISTA ;REALIZADO
Auto Posto Mais 29;SP;SÃO PAULO;JUDICIAL;Escritório 2;DECISÃO JUDICIAL;R$ 94.368,88; PARCELADO ;REALIZADO
Auto Posto Mais 30;SP;SÃO PAULO;JUDICIAL;Escritório 2;DECISÃO JUDICIAL;R$ 2.693,03; A VISTA ;REALIZADO
Auto Posto Mais 31;MG;SUDESTE;JUDICIAL;Escritório 2;DECISÃO JUDICIAL;R$ 9.844,98; A VISTA ;REALIZADO
Auto Posto Mais 32;PE;NORDESTE;JUDICIAL;Escritório 3;ACORDO;R$ 388.057,38; PARCELADO ;REALIZADO
Auto Posto Mais 33;AL;NORDESTE;EXTRAJUDICIAL;Jurídico Interno;ACORDO;R$ 411.266,58; PARCELADO ;NÃO REALIZADO
Auto Posto Mais 34;AL;NORDESTE;JUDICIAL;Escritório 3;ACORDO;R$ 719.872,06; PARCELADO ;NÃO REALIZADO
Auto Posto Mais 35;CE;NORDESTE;JUDICIAL;Escritório 3;ACORDO;R$ 500.000,00; PARCELADO ;NÃO REALIZADO
Auto Posto Mais 36;MA;NORDESTE;JUDICIAL;Escritório 3;ACORDO;R$ 250.677,08; A VISTA ;NÃO REALIZADO
Auto Posto Mais 37;CE;NORDESTE;JUDICIAL;Escritório 3;ACORDO;R$ 201.819,61; PARCELADO ;NÃO REALIZADO
Auto Posto Mais 38;PB;NORDESTE;JUDICIAL;Escritório 3;ACORDO;R$ 129.053,29; A VISTA ;NÃO REALIZADO
Auto Posto Mais 39;SP;SÃO PAULO;JUDICIAL;Escritório 2;DECISÃO JUDICIAL;R$ 7.177,87; A VISTA ;REALIZADO
Auto Posto Mais 40;SP;SÃO PAULO;JUDICIAL;Escritório 2;DECISÃO JUDICIAL;R$ 101.775,94; A VISTA ;REALIZADO
Auto Posto Mais 41;SP;SÃO PAULO;JUDICIAL;Escritório 2;DECISÃO JUDICIAL;R$ 99.858,12; A VISTA ;REALIZADO
Auto Posto Mais 42;RJ;SUDESTE;JUDICIAL;Escritório 2;DECISÃO JUDICIAL;R$ 335.886,80; A VISTA ;REALIZADO
Auto Posto Mais 43;SP;SÃO PAULO;JUDICIAL;Escritório 2;ACORDO;R$ 350.000,00; PARCELADO ;REALIZADO
Auto Posto Mais 44;SP;SÃO PAULO;JUDICIAL;Escritório 2;ACORDO;R$ 414.755,39; PARCELADO ;REALIZADO
Auto Posto Mais 45;GO;CENTRO OESTE;JUDICIAL;Escritório 6;ACORDO;R$ 2.000.000,00; PARCELADO ;NÃO REALIZADO
Auto Posto Mais 46;SP;SÃO PAULO;JUDICIAL;Escritório 2;ACORDO;R$ 100.000,00; PARCELADO ;REALIZADO
Auto Posto Mais 47;PR;SUL;JUDICIAL;Escritório 6;ACORDO;R$ 1.000.000,00; A VISTA ;REALIZADO
Auto Posto Mais 48;SP;SÃO PAULO;JUDICIAL;Escritório 2;DECISÃO JUDICIAL;R$ 750,00; A VISTA ;REALIZADO
Auto Posto Mais 49;RJ;SUDESTE;JUDICIAL;Escritório 7;ACORDO;R$ 1.117.778,85; PARCELADO ;REALIZADO
Auto Posto Mais 50;SP;SÃO PAULO;JUDICIAL;Escritório 2;DECISÃO JUDICIAL;R$ 4.706,01; A VISTA ;REALIZADO
Auto Posto Mais 51;SP;SÃO PAULO;JUDICIAL;Escritório 2;DECISÃO JUDICIAL;R$ 674,01; A VISTA ;REALIZADO
Auto Posto Mais 52;SP;SÃO PAULO;JUDICIAL;Escritório 7;DECISÃO JUDICIAL;R$ 310,00; A VISTA ;REALIZADO
Auto Posto Mais 53;SP;SÃO PAULO;JUDICIAL;Escritório 2;ACORDO;R$ 22.000.000,00; PARCELADO ;REALIZADO
Auto Posto Mais 54;AL;NORDESTE;JUDICIAL;Escritório 3;DECISÃO JUDICIAL;R$ 10.543,41; A VISTA ;REALIZADO
Auto Posto Mais 55;SP;SÃO PAULO;JUDICIAL;Escritório 2;DECISÃO JUDICIAL;R$ 11.000,00; A VISTA ;REALIZADO
