Rede Abastecedora Número 14,RJ,SUDESTE,336870,NÃO,37,EXECUÇÃO,SIM,REALIZADO,5
Auto Posto Nº 85,AL,NORDESTE,331082,NÃO,37,EXECUÇÃO,SIM,REALIZADO,6
Rede Abastecedora Número 75,PR,SUL,309000,SIM,37,EXECUÇÃO,SIM,REALIZADO,10
Rede Abastecedora Número 116,SP,SÃO PAULO,300000,SIM,37,CONHECIMENTO,SIM,REALIZADO,8
Auto Posto Nº 92,RS,SUL,300000,SIM,37,CONHECIMENTO,SIM,REALIZADO,5
Auto Posto Nº 113,MA,NORDESTE,207393,SIM,36,EXECUÇÃO,SIM,REALIZADO,7
Auto Posto Nº 89,SE,NORDESTE,203000,NÃO,36,CONHECIMENTO,NÃO,NÃO REALIZADO,6
Rede Abastecedora Número 71,RS,SUL,200000,SIM,36,EXECUÇÃO,SIM,REALIZADO,10
Auto Posto Nº 124,MG,SUDESTE,195000,SIM,36,EXECUÇÃO,SIM,REALIZADO,5
Auto Posto Mais 86,PA,NORTE,180000,SIM,36,EXECUÇÃO,SIM,REALIZADO,5
Auto Posto Nº 137,PR,SUL,140205,NÃO,36,CONHECIMENTO,SIM,REALIZADO,6
Auto Posto Nº 139,MT,CENTRO OESTE,130500,NÃO,36,CONHECIMENTO,NÃO,NÃO REALIZADO,9
Auto Posto Mais 41,SP,SÃO PAULO,130000,NÃO,36,CONHECIMENTO,SIM,REALIZADO,7
Rede Abastecedora Número 86,SP,SÃO PAULO,600000,NÃO,35,EXECUÇÃO,NÃO,REALIZADO,5
Auto Posto Mais 71,RS,SUL,120003,NÃO,34,EXECUÇÃO,NÃO,REALIZADO,6
Rede Abastecedora Número 79,SP,SÃO PAULO,109724,SIM,33,EXECUÇÃO,SIM,REALIZADO,8
Auto Posto Nº 37,PR,SUL,107000,SIM,33,EXECUÇÃO,SIM,REALIZADO,5
Rede Abastecedora Número 27,SE,NORDESTE,106000,NÃO,33,EXECUÇÃO,NÃO,NÃO REALIZADO,9
Auto Posto Nº 18,MT,CENTRO OESTE,103000,NÃO,33,EXECUÇÃO,SIM,REALIZADO,5
Rede Abastecedora Número 35,MS,CENTRO OESTE,100000,NÃO,33,EXECUÇÃO,NÃO,REALIZADO,5
Posto ETA,CE,NORDESTE,5226514,SIM,33,CONHECIMENTO,SIM,REALIZADO,5
Auto Posto Nº 38,MA,NORDESTE,1056981,SIM,32,EXECUÇÃO,SIM,NÃO REALIZADO,7
Rede Abastecedora Número 104,RJ,SUDESTE,933172,SIM,32,EXECUÇÃO,SIM,NÃO REALIZADO,9
Auto Posto Nº 46,SP,SÃO PAULO,900000,SIM,32,EXECUÇÃO,NÃO,REALIZADO,6
Auto Posto Nº 30,PR,SUL,850000,SIM,32,EXECUÇÃO,NÃO,NÃO REALIZADO,11
Auto Posto Nº 97,SP,SÃO PAULO,775000,SIM,32,CONHECIMENTO,NÃO,REALIZADO,9
